name,price,city,production_year,km_driven,engine_type,horsepower,transmission,link
Toyota Yaris  2021 ATIV X CVT 1.5,4700000,Karachi,2021,48342,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-9315106
Toyota Passo  2015 X L Package,3000000,Karachi,2015,59122,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2015-for-sale-in-karachi-9292111
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Beige Interior,6500000,Karachi,2022,25996,Petrol,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-9302434
Toyota Raize  2020 Z,6200000,Karachi,2020,19864,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-9295535
Toyota Corolla  2017 GLi Automatic 1.3 VVTi,4300000,Karachi,2017,25296,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-9295801
Toyota Yaris Hatchback  2022 X,5500000,Karachi,2022,16820,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2022-for-sale-in-karachi-9280693
Toyota Passo  2018 X L Package S ,353500000,Karachi,2018,69430,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2018-for-sale-in-karachi-9208152
Toyota Corolla Axio  2015 X 1.5,4900000,Karachi,2015,124859,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-corolla-axio-2015-for-sale-in-karachi-9213852
Toyota Corolla  2022 Altis X Automatic 1.6 Special Edition,6400000,Karachi,2022,8380,Petrol,1598 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-9277140
Toyota Passo  2021 X,44500000,Karachi,2021,35097,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-karachi-9274172
Toyota Raize  2020 Z,6400000,Karachi,2020,40383,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-9272634
Toyota C-HR  2019 G-LED,8900000,Karachi,2019,60590,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-karachi-9173711
Toyota C-HR  2019 G-LED,102000000,Karachi,2019,20348,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-karachi-9185112
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Beige Interior,65500000,Karachi,2022,22395,Petrol,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-9301096
Toyota Fortuner  2022 Legender ,Call,Karachi,2022,43690,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-karachi-9099140
Toyota Fortuner  2021 Legender ,Call,Karachi,2021,24503,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-karachi-9032993
Toyota Land Cruiser  2018 ZX,49000000,Karachi,2018,54139,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2018-for-sale-in-karachi-7817652
Toyota Raize  2020 Z,6100000,Karachi,2020,23052,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-8863452
Toyota Prado  2018 TX 2.7,238000000,Karachi,2018,34037,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2018-for-sale-in-karachi-8364224
Toyota C-HR  2019 G-LED,9600000,Karachi,2019,41005,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-karachi-9050053
Toyota Fortuner  2022 2.8 Sigma 4,165000000,Karachi,2022,18249,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-karachi-9103614
Toyota Passo  2021 Moda G,45500000,Karachi,2021,43434,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-karachi-9305819
Toyota C-HR  2019 G Nero,827500000,Karachi,2019,114137,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-karachi-9324646
Toyota Prius  2021 S Touring Selection,8800000,Karachi,2021,41037,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-prius-2021-for-sale-in-karachi-9298330
Toyota Sienta  2018 G,63500000,Karachi,2018,111407,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-sienta-2018-for-sale-in-karachi-9166808
Toyota Raize  2019 Z,63500000,Karachi,2019,38631,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2019-for-sale-in-karachi-9201778
Toyota C-HR  2017 G-LED,7500000,Karachi,2017,60554,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2017-for-sale-in-karachi-9214058
Toyota Corolla  2019 XLi Automatic,4000000,Karachi,2019,48000,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-9157321
Toyota Raize  2020 Z,6600000,Karachi,2020,23256,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-9154507
Toyota Yaris  2021 ATIV X CVT 1.5,4900000,Karachi,2021,13793,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-9171591
Toyota Yaris Hatchback  2020 G 1.0,4300000,Karachi,2020,63742,Petrol,996 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-karachi-9181645
Toyota Yaris  2023 ATIV X CVT 1.5,5700000,Karachi,2023,16558,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2023-for-sale-in-karachi-9147093
Toyota Yaris Hatchback  2020 G 1.0,56500000,Karachi,2020,32816,Petrol,996 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-karachi-9120376
Toyota Corolla  2021 Altis X Automatic 1.6,57800000,Karachi,2021,42392,Petrol,1598 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-9315193
Toyota Prado  2021 TX L Package 2.7,377000000,Karachi,2021,19970,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2021-for-sale-in-karachi-9315121
Toyota Yaris  2021 ATIV X CVT 1.5,4700000,Karachi,2021,48342,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-9315106
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Beige Interior,65500000,Karachi,2022,22395,Petrol,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-9301096
Toyota Passo  2015 X L Package,3000000,Karachi,2015,59122,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2015-for-sale-in-karachi-9292111
Toyota Fortuner  2022 Legender ,Call,Karachi,2022,43690,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-karachi-9099140
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Beige Interior,6500000,Karachi,2022,25996,Petrol,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-9302434
Toyota Raize  2020 Z,6200000,Karachi,2020,19864,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-9295535
Toyota Prius  2021 S,9100000,Karachi,2021,35081,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-prius-2021-for-sale-in-karachi-9228054
Toyota Fortuner  2021 Legender ,Call,Karachi,2021,24503,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-karachi-9032993
Toyota Corolla  2017 GLi Automatic 1.3 VVTi,4300000,Karachi,2017,25296,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-9295801
Toyota Land Cruiser  2018 ZX,49000000,Karachi,2018,54139,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2018-for-sale-in-karachi-7817652
Toyota Raize  2020 Z,6100000,Karachi,2020,23052,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-8863452
Toyota Prado  2018 TX 2.7,238000000,Karachi,2018,34037,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2018-for-sale-in-karachi-8364224
Toyota Yaris Hatchback  2022 X,5500000,Karachi,2022,16820,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2022-for-sale-in-karachi-9280693
