name,price,city,production_year,km_driven,engine_type,horsepower,transmission,link
Toyota Yaris Hatchback  2022 G 1.0,5000000,Rawalpindi,2022,16018,Petrol,996 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2022-for-sale-in-rawalpindi-9170938
Toyota Passo  2021 Moda G,45500000,Karachi,2021,43434,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-karachi-9305819
Toyota C-HR  2019 G Nero,827500000,Karachi,2019,114137,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-karachi-9324646
Toyota Corolla  2022 Altis 1.6 X CVT-i Special Edition,64500000,Faisalabad,2022,19921,Petrol,1600 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-faisalabad-9218756
Toyota Passo  2021 X L Package S ,399500000,Lahore,2021,27782,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-lahore-9238801
Toyota Prado  2017 TX 2.7,23000000,Lahore,2017,23666,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2017-for-sale-in-lahore-9211520
Toyota Passo  2021 X,4000000,Gujranwala,2021,40698,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-gujranwala-9302147
Toyota Fortuner  2021 2.8 Sigma 4,148000000,Faisalabad,2021,68614,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-faisalabad-9321467
Toyota Prius  2023 1.8 U Hybrid,14000000,Lahore,2023,15698,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-prius-2023-for-sale-in-lahore-9129410
Toyota Tundra  2019 5.7i,239000000,Karachi,2019,37603,Petrol,5700 ,Automatic,pakwheels.com/used-cars/toyota-tundra-2019-for-sale-in-karachi-8645158
Toyota Land Cruiser  2013 ZX,31000000,Karachi,2013,83133,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2013-for-sale-in-karachi-8716438
Toyota Land Cruiser  2017 ZX,436000000,Karachi,2017,35502,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2017-for-sale-in-karachi-9212072
Toyota Hilux  2022 Revo V Automatic 2.8,125000000,Karachi,2022,48804,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-hilux-2022-for-sale-in-karachi-9310915
Toyota Prado  2019 TX L Package 2.7,285000000,Islamabad,2019,123456,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2019-for-sale-in-islamabad-9187095
